N,Layout,Algorithm,Type,Repetition_ID,Run_Type,Perf_IPC,Perf_L1-dcache-load-misses,Perf_branch-misses,Perf_branches,Perf_cycles,Perf_dTLB-load-misses,Perf_instructions,Perf_task-clock,Gprof_Runtime_Mean_s,Gprof_Runtime_s
32000,array,insertion,int,1,Individual,3.7588284101429936,12152466.0,40649.0,40649.0,1523459041.0,560.0,5726421125.0,350555908.0,,0.34532737731933594
32000,array,insertion,int,2,Individual,3.7731564642376663,12036799.0,41222.0,41222.0,1520048706.0,153.0,5735381601.0,349159583.0,,0.3452577590942383
32000,array,insertion,int,3,Individual,3.7212682225978444,12147300.0,41178.0,41178.0,1538694235.0,795.0,5725893961.0,356668856.0,,0.3492467403411865
32000,array,insertion,int,4,Individual,3.6979980371871504,12265203.0,41425.0,41425.0,1550044876.0,783.0,5732062909.0,361587973.0,,0.3529074192047119
32000,array,insertion,int,5,Individual,3.7506316246960214,12199135.0,41356.0,41356.0,1527069407.0,270.0,5727474811.0,350010847.0,,0.3548429012298584
32000,array,insertion,int,AVG,Mean,3.7403765517723357,12160180.6,41166.0,41166.0,1531863253.0,512.2,5729446881.4,353596633.4,0.3495164394378662,
32000,array,insertion,double,1,Individual,4.228405091180557,29349850.0,75350.0,75350.0,1349870020.0,907.0,5707797265.0,310365545.0,,0.3197205066680908
32000,array,insertion,double,2,Individual,4.252269764502981,29286707.0,73794.0,73794.0,1343596878.0,710.0,5713336380.0,311049715.0,,0.31307315826416016
32000,array,insertion,double,3,Individual,4.20915485170982,29308683.0,80228.0,80228.0,1354293351.0,815.0,5700430429.0,315369705.0,,0.3155639171600342
32000,array,insertion,double,4,Individual,4.2400885314543695,29211108.0,74321.0,74321.0,1347793966.0,868.0,5714765738.0,314892844.0,,0.30829644203186035
32000,array,insertion,double,5,Individual,4.259331579595461,29323106.0,74590.0,74590.0,1343628013.0,754.0,5722957227.0,313904869.0,,0.30962443351745605
32000,array,insertion,double,AVG,Mean,4.237849963688637,29295890.8,75656.6,75656.6,1347836445.6,810.8,5711857407.8,313116535.6,0.31325569152832033,
32000,array,bubble,int,1,Individual,2.9722551786217632,29199450.0,47638127.0,47638127.0,5117239144.0,1731.0,15209740546.0,1173087646.0,,1.1568934917449951
32000,array,bubble,int,2,Individual,2.991737107970221,29182243.0,47513841.0,47513841.0,5085118606.0,1650.0,15213338032.0,1170385398.0,,1.1500608921051025
32000,array,bubble,int,3,Individual,2.9770253081508287,29382132.0,47702920.0,47702920.0,5112496558.0,1960.0,15220031641.0,1175117100.0,,1.1509301662445068
32000,array,bubble,int,4,Individual,2.9929119885498126,29355612.0,47622483.0,47622483.0,5081284822.0,460.0,15207838261.0,1161958393.0,,1.153163194656372
32000,array,bubble,int,5,Individual,2.9879956636268776,29279540.0,47740684.0,47740684.0,5090373770.0,315.0,15210014751.0,1157101306.0,,1.152463674545288
32000,array,bubble,int,AVG,Mean,2.9843850493839006,29279795.4,47643611.0,47643611.0,5097302580.0,1223.2,15212192646.2,1167529968.6,1.1527022838592529,
32000,array,bubble,double,1,Individual,2.1903008279519938,62590956.0,66915161.0,66915161.0,6928600139.0,658.0,15175718621.0,1584184740.0,,1.5554769039154053
32000,array,bubble,double,2,Individual,2.192355788011634,62539364.0,66833074.0,66833074.0,6921229877.0,757.0,15173798381.0,1581406089.0,,1.5679843425750732
32000,array,bubble,double,3,Individual,2.1873717545003144,63120786.0,66929187.0,66929187.0,6937315069.0,497.0,15174487034.0,1583029856.0,,1.5599472522735596
