N,Order,Mode,Repetition_ID,Run_Type,Perf_Cache_Miss_Rate,Perf_IPC,Perf_L1-dcache-load-misses,Perf_branch-misses,Perf_branches,Perf_cache-misses,Perf_cache-references,Perf_cycles,Perf_dTLB-load-misses,Perf_instructions,Perf_task-clock,Gprof_Runtime_Mean_s
500,ijk,cpu,AVG,Mean,0.28968077907373785,3.9287889270199208,51681264.4,266226.6,266226.6,40228009.4,138852644.8,1220872801.4,296.0,4796515185.0,299235644.4,0.2786386489868164
500,ijk,io,AVG,Mean,nan,nan,18306.4,3959.4,3959.4,,94544.5,486040.8,139.4,2638408.8,1636266.8,0.0023554325103759765
500,ikj,cpu,AVG,Mean,0.20756886186150708,4.019790669391888,10334141.0,266762.0,266762.0,7241509.6,34660766.0,1194112660.2,507.2,4800057936.8,273264931.0,0.27433319091796876
500,ikj,io,AVG,Mean,nan,nan,18227.0,3969.2,3969.2,,83245.66666666667,460423.4,126.8,2748300.2,1774425.2,0.002031707763671875
500,jik,cpu,AVG,Mean,0.3287358019126799,3.8977299026898877,59749095.0,266189.4,266189.4,36997228.6,112489501.8,1231411513.2,3649.4,4799694956.4,280171667.0,0.28054471015930177
500,jik,io,AVG,Mean,nan,nan,18202.0,3956.8,3956.8,,71058.0,500229.2,224.0,3303660.0,1769887.0,0.0019777297973632814
1000,ijk,cpu,AVG,Mean,0.4662998376970447,3.8213533697319035,1077485582.6,1050978.0,1050978.0,961353822.4,2061658594.2,9984532179.0,1641.6,38153784720.6,2258623941.0,2.2283185958862304
1000,ijk,io,AVG,Mean,0.03726761608354396,1.1399306979815045,66892.2,4894.2,4894.2,8497.0,225086.6,4834495.6,263.4,1130366.4,4456070.4,0.0047013282775878905
1000,ikj,cpu,AVG,Mean,0.15871440279689267,4.058526826978037,73482200.2,1050612.8,1050612.8,32559349.2,203840663.0,9402213068.2,1049.0,38159092529.0,2123624424.0,2.1070048809051514
1000,ikj,io,AVG,Mean,0.03649868017167056,0.18591938654919787,65229.4,4982.4,4982.4,7515.2,206382.6,3518196.0,165.8,497562.2,4029458.6,0.004798984527587891
1000,jik,cpu,AVG,Mean,0.4205648429731329,3.8834305959077264,1075166713.0,1053402.6,1053402.6,850070886.4,2021170424.4,9830043588.2,27463.8,38174209306.4,2230680791.6,2.2198675155639647
1000,jik,io,AVG,Mean,0.03882705782797767,0.5130861550634268,65678.2,5116.8,5116.8,9506.4,239209.6,3262972.2,335.8,2017243.4,4454609.6,0.004953575134277344
1500,ijk,cpu,AVG,Mean,0.4667307553587893,3.8051256336218744,3640216357.4,2360676.2,2360676.2,3254728439.8,6973452391.2,33798793238.0,2927.6,128608533384.0,7700072352.2,7.612788248062134
1500,ijk,io,AVG,Mean,0.01751944614037197,2.24451739394967,93621.2,6320.4,6320.4,5982.0,342026.2,18165073.2,179.6,40640931.6,7596946.8,0.008080673217773438
1500,ikj,cpu,AVG,Mean,0.09710974783213666,4.054839123012739,239490742.2,2356242.4,2356242.4,57892439.6,596128241.0,31732709476.6,1370.6,128670924712.8,7217762678.2,7.137426233291626
1500,ikj,io,AVG,Mean,0.015078795904803769,2.3496893265770984,68215.8,6066.0,6066.0,5786.6,384010.2,17597938.6,236.2,42535499.0,7607997.6,0.008006477355957031
1500,jik,cpu,AVG,Mean,0.4278828489495684,3.8699550200493653,3636833990.4,2363322.2,2363322.2,2941811921.6,6874595313.8,33226104225.6,38483.8,128583437454.8,7643684686.4,7.487194013595581
1500,jik,io,AVG,Mean,0.017244652974752105,2.306937005866221,71063.8,6156.8,6156.8,6485.8,376165.8,18415861.4,213.2,42431941.6,7179011.0,0.007735347747802735
2000,ijk,cpu,AVG,Mean,0.4639385104652466,3.4028748734215126,8608072026.2,4193744.4,4193744.4,7550241441.8,16274193779.6,89514631450.8,6887.0,304606984770.6,20202202116.2,19.954151153564453
2000,ijk,io,AVG,Mean,0.023449635136073625,4.327276167931018,236631.0,8011.0,8011.0,7185.8,312107.6,19567074.2,156.4,82761497.8,12689515.2,0.01328105926513672
2000,ikj,cpu,AVG,Mean,0.08468471278407598,4.019633203118634,559605905.2,4182776.6,4182776.6,113392864.0,1339746968.0,75804561975.2,2525.0,304706484177.4,17154515535.4,16.948709106445314
2000,ikj,io,AVG,Mean,0.02407410565834529,4.135209618320085,241460.6,7773.6,7773.6,6738.8,285891.2,21306751.0,120.8,87264995.0,12748205.0,0.013565397262573243
2000,jik,cpu,AVG,Mean,0.43186693152509276,3.830739558960018,8615004311.8,4189779.6,4189779.6,7037200226.2,16294383253.2,79530737723.4,73143.8,304661165075.4,18047653157.4,17.843597412109375
2000,jik,io,AVG,Mean,0.022671272012584297,4.508553290216349,250516.8,8110.4,8110.4,6617.4,294617.2,19111405.6,157.0,84084720.6,12750767.0,0.012861490249633789
2500,ijk,cpu,AVG,Mean,0.46202166660840255,3.2744450005863754,16811987618.4,6569968.2,6569968.2,14596894267.4,31593507660.2,181655269032.4,26423.8,594819933555.4,40706728894.6,40.43081803321839
2500,ijk,io,AVG,Mean,0.011814580331066731,2.8432330955891643,325887.8,7244.0,7244.0,10857.6,940733.8,34590596.0,707.2,98120406.2,19399592.4,0.019934749603271483
2500,ikj,cpu,AVG,Mean,0.06619711857788674,4.0226453505426845,1094753765.0,6549251.4,6549251.4,167707906.0,2532146556.6,147868589331.8,4381.8,594822636146.6,33332241967.0,33.04875564575195
2500,ikj,io,AVG,Mean,0.014448340072455804,2.859275202922251,334465.8,7374.0,7374.0,11864.2,829141.8,37806742.8,821.6,106436884.4,19527087.6,0.020094680786132812
2500,jik,cpu,AVG,Mean,0.42870846592419837,3.837640768128928,16817105970.6,6555515.0,6555515.0,13531332388.6,31562502806.2,155006861914.6,106205.8,594860549234.0,35063429689.2,34.718863534927365
2500,jik,io,AVG,Mean,0.013747956832374331,2.970394052122427,329608.4,7482.0,7482.0,11023.8,818089.6,37176743.6,563.0,109800434.6,19609674.6,0.019767045974731445
