N,Order,Mode,Repetition_ID,Run_Type,Perf_Cache_Miss_Rate,Perf_IPC,Perf_L1-dcache-load-misses,Perf_branch-misses,Perf_branches,Perf_cache-misses,Perf_cache-references,Perf_cycles,Perf_dTLB-load-misses,Perf_instructions,Perf_task-clock,Gprof_Runtime_Mean_s,Gprof_Runtime_s
500,ijk,cpu,1,Individual,0.28809708019108815,3.9282010065053425,51301856.0,265977.0,265977.0,39766008.0,138029889.0,1218889705.0,137.0,4788043766.0,384233639.0,,0.2772247791290283
500,ijk,cpu,2,Individual,0.28854991023189885,3.9348108512648516,51094243.0,265764.0,265764.0,39590708.0,137205754.0,1220331766.0,521.0,4801774675.0,276993739.0,,0.2774813175201416
500,ijk,cpu,3,Individual,0.2967676943057119,3.9090157987873897,52221914.0,266241.0,266241.0,42050475.0,141694921.0,1228215465.0,348.0,4801113657.0,278371443.0,,0.28221583366394043
500,ijk,cpu,4,Individual,0.2879488619442465,3.9357253871537856,52649154.0,267179.0,267179.0,40313067.0,140000786.0,1218390256.0,211.0,4795249462.0,279178809.0,,0.2789945602416992
500,ijk,cpu,5,Individual,0.28704034869574413,3.936191591388234,51139155.0,265972.0,265972.0,39419789.0,137331874.0,1218536815.0,263.0,4796394365.0,277400592.0,,0.27727675437927246
500,ijk,cpu,AVG,Mean,0.28968077907373785,3.9287889270199208,51681264.4,266226.6,266226.6,40228009.4,138852644.8,1220872801.4,296.0,4796515185.0,299235644.4,0.2786386489868164,
500,ijk,io,1,Individual,nan,0.5947081413984618,18669.0,3922.0,3922.0,,82388.0,496045.0,272.0,295002.0,2159550.0,,0.0022563934326171875
500,ijk,io,2,Individual,nan,4.371935874780677,18247.0,3943.0,3943.0,,,958063.0,49.0,4188590.0,1439069.0,,0.0022614002227783203
500,ijk,io,3,Individual,nan,7.459393181708901,18156.0,3927.0,3927.0,,,561519.0,53.0,4188591.0,1532624.0,,0.002644062042236328
500,ijk,io,4,Individual,nan,nan,18205.0,3979.0,3979.0,,106701.0,0.0,249.0,331271.0,1505985.0,,0.0025577545166015625
500,ijk,io,5,Individual,nan,10.103285999946934,18255.0,4026.0,4026.0,,,414577.0,74.0,4188590.0,1544106.0,,0.0020575523376464844
500,ijk,io,AVG,Mean,nan,nan,18306.4,3959.4,3959.4,,94544.5,486040.8,139.4,2638408.8,1636266.8,0.0023554325103759765,
500,ikj,cpu,1,Individual,0.2551200671021737,4.0009075301884955,10369426.0,266154.0,266154.0,9462937.0,37092092.0,1200180461.0,569.0,4801811044.0,272702964.0,,0.27402234077453613
500,ikj,cpu,2,Individual,0.2135892209115334,4.015037617491302,10396846.0,266988.0,266988.0,7455235.0,34904547.0,1192127610.0,357.0,4786437199.0,273736922.0,,0.27390193939208984
500,ikj,cpu,3,Individual,0.18092596688863635,4.027162231112664,10266449.0,267629.0,267629.0,6006910.0,33200928.0,1191620595.0,571.0,4798849454.0,274149245.0,,0.2732086181640625
500,ikj,cpu,4,Individual,0.22253823991909946,4.033511066253872,10331540.0,266148.0,266148.0,7823612.0,35156259.0,1194345047.0,928.0,4817403964.0,273868459.0,,0.27344822883605957
500,ikj,cpu,5,Individual,0.16567081448609233,4.022334901913108,10306444.0,266891.0,266891.0,5458854.0,32950004.0,1192289588.0,111.0,4795788023.0,271867065.0,,0.2770848274230957
500,ikj,cpu,AVG,Mean,0.20756886186150708,4.019790669391888,10334141.0,266762.0,266762.0,7241509.6,34660766.0,1194112660.2,507.2,4800057936.8,273264931.0,0.27433319091796876,
500,ikj,io,1,Individual,nan,6.879195085026894,18148.0,3975.0,3975.0,,21234.0,635446.0,55.0,4371357.0,1845060.0,,0.0016777515411376953
500,ikj,io,2,Individual,nan,8.788597074677348,18211.0,3958.0,3958.0,,,476597.0,57.0,4188619.0,1687745.0,,0.0022132396697998047
500,ikj,io,3,Individual,nan,0.9372962728995577,18253.0,4034.0,4034.0,,120200.0,791500.0,179.0,741870.0,2491161.0,,0.001537322998046875
500,ikj,io,4,Individual,nan,nan,18256.0,3926.0,3926.0,,108303.0,0.0,250.0,251035.0,1479023.0,,0.0025458335876464844
500,ikj,io,5,Individual,nan,10.509014637181552,18267.0,3953.0,3953.0,,,398574.0,93.0,4188620.0,1369137.0,,0.0021843910217285156
500,ikj,io,AVG,Mean,nan,nan,18227.0,3969.2,3969.2,,83245.66666666667,460423.4,126.8,2748300.2,1774425.2,0.002031707763671875,
500,jik,cpu,1,Individual,0.32495067062712996,3.9062302955779327,59790516.0,265706.0,265706.0,36301496.0,111713867.0,1234213755.0,894.0,4821123161.0,280846093.0,,0.2790679931640625
500,jik,cpu,2,Individual,0.34650156683940625,3.882658855536864,59915510.0,267602.0,267602.0,39885821.0,115110074.0,1234145667.0,5034.0,4791766603.0,280040111.0,,0.2798120975494385
500,jik,cpu,3,Individual,0.3076774005072294,3.8905649888669407,60748285.0,265327.0,265327.0,34107629.0,110855165.0,1232666590.0,5050.0,4795769478.0,279726164.0,,0.279202938079834
500,jik,cpu,4,Individual,0.33470111658701723,3.9042159469232325,59160648.0,266613.0,266613.0,38052836.0,113691990.0,1227471288.0,2609.0,4792312977.0,280329626.0,,0.2837059497833252
500,jik,cpu,5,Individual,0.329848255002617,3.9049794265444686,59130516.0,265699.0,265699.0,36638361.0,111076413.0,1228560266.0,4660.0,4797502563.0,279916341.0,,0.28093457221984863
500,jik,cpu,AVG,Mean,0.3287358019126799,3.8977299026898877,59749095.0,266189.4,266189.4,36997228.6,112489501.8,1231411513.2,3649.4,4799694956.4,280171667.0,0.28054471015930177,
500,jik,io,1,Individual,nan,7.858915077100486,18178.0,3947.0,3947.0,,77099.0,440529.0,169.0,3462080.0,1683747.0,,0.0016355514526367188
500,jik,io,2,Individual,nan,7.641371202759119,18178.0,3980.0,3980.0,,53600.0,564818.0,45.0,4315984.0,1728221.0,,0.0022716522216796875
500,jik,io,3,Individual,nan,5.679121420350241,18199.0,3924.0,3924.0,,30835.0,759362.0,47.0,4312509.0,1672547.0,,0.0017282962799072266
500,jik,io,4,Individual,nan,nan,18199.0,3974.0,3974.0,,,0.0,427.0,4188650.0,1800476.0,,0.002087831497192383
500,jik,io,5,Individual,nan,0.3246401253603499,18256.0,3959.0,3959.0,,122698.0,736437.0,432.0,239077.0,1964444.0,,0.0021653175354003906
500,jik,io,AVG,Mean,nan,nan,18202.0,3956.8,3956.8,,71058.0,500229.2,224.0,3303660.0,1769887.0,0.0019777297973632814,
1000,ijk,cpu,1,Individual,0.46547532885926785,3.8017982755621778,1079515745.0,1047538.0,1047538.0,960528229.0,2063542726.0,10029833013.0,1270.0,38131401853.0,2273026519.0,,2.232778787612915
1000,ijk,cpu,2,Individual,0.4648693013742353,3.807134065064155,1077355117.0,1049574.0,1049574.0,955014184.0,2054371371.0,10028254993.0,4019.0,38178911197.0,2267585701.0,,2.207900285720825
1000,ijk,cpu,3,Individual,0.46639674565535266,3.8224234255443394,1075721447.0,1056718.0,1056718.0,962943479.0,2064644507.0,9980381818.0,487.0,38149245257.0,2256314000.0,,2.219775915145874
1000,ijk,cpu,4,Individual,0.4666534732067109,3.8296161580213868,1076676186.0,1047028.0,1047028.0,961999614.0,2061486026.0,9960944954.0,888.0,38146595745.0,2243548751.0,,2.2397494316101074
1000,ijk,cpu,5,Individual,0.4681043393896568,3.845794924467457,1078159418.0,1054032.0,1054032.0,966283606.0,2064248341.0,9923246117.0,1544.0,38162769551.0,2252644734.0,,2.2413885593414307
1000,ijk,cpu,AVG,Mean,0.4662998376970447,3.8213533697319035,1077485582.6,1050978.0,1050978.0,961353822.4,2061658594.2,9984532179.0,1641.6,38153784720.6,2258623941.0,2.2283185958862304,
1000,ijk,io,1,Individual,0.03766511202388082,0.17516646561737065,65121.0,4912.0,4912.0,7987.0,212053.0,2500216.0,135.0,437954.0,4344066.0,,0.004553318023681641
1000,ijk,io,2,Individual,0.0356313932092862,0.06763183692184402,66298.0,5042.0,5042.0,6371.0,178803.0,8819722.0,277.0,596494.0,4278854.0,,0.0040700435638427734
1000,ijk,io,3,Individual,0.034812942921496455,0.041424263041237364,72585.0,4957.0,4957.0,6337.0,182030.0,11048549.0,194.0,457678.0,4953279.0,,0.005358695983886719
1000,ijk,io,4,Individual,0.03727299034523882,0.37511573209356164,65246.0,4902.0,4902.0,8501.0,228074.0,1057399.0,118.0,396647.0,4240763.0,,0.00498509407043457
1000,ijk,io,5,Individual,0.04095564191781751,5.040315192233509,65211.0,4658.0,4658.0,13289.0,324473.0,746592.0,593.0,3763059.0,4463390.0,,0.00453948974609375
1000,ijk,io,AVG,Mean,0.03726761608354396,1.1399306979815045,66892.2,4894.2,4894.2,8497.0,225086.6,4834495.6,263.4,1130366.4,4456070.4,0.0047013282775878905,
1000,ikj,cpu,1,Individual,0.17374653539214485,4.06634090632763,73363522.0,1051130.0,1051130.0,36452789.0,209804408.0,9383852791.0,670.0,38157944463.0,2114614590.0,,2.121736764907837
1000,ikj,cpu,2,Individual,0.09610956346934854,4.0586782264278725,73057188.0,1051178.0,1051178.0,18222505.0,189601371.0,9398534168.0,963.0,38145625988.0,2129411389.0,,2.1029856204986572
1000,ikj,cpu,3,Individual,0.1862543935306121,4.054900222210168,74140544.0,1051253.0,1051253.0,37638302.0,202080076.0,9410758813.0,1011.0,38159688002.0,2118655733.0,,2.1022517681121826
1000,ikj,cpu,4,Individual,0.16704824102441954,4.056050093983277,73614275.0,1048065.0,1048065.0,34821713.0,208453036.0,9413703466.0,1494.0,38182452828.0,2131030656.0,,2.104011297225952
1000,ikj,cpu,5,Individual,0.1704132805679383,4.056664685941235,73235472.0,1051438.0,1051438.0,35661437.0,209264424.0,9404216103.0,1107.0,38149751364.0,2124409752.0,,2.104038953781128
