Implementation,Samples,Threads,Points_Inside,Pi_Estimate,Error,Execution_Time_Sec,Speedup
Sequential,100000,1,78696,3.147840000000000,0.006247346410207,0.000995,1.0
Basic Pthread,100000,1,78696,3.147840000000000,0.006247346410207,0.001187,0.84x
Thread-Local Counters,100000,1,78696,3.147840000000000,0.006247346410207,0.001120,0.89x
Byte Array,100000,1,78696,3.147840000000000,0.006247346410207,0.001182,0.84x
Basic Pthread,100000,2,78553,3.142120000000000,0.000527346410207,0.002403,0.41x
Thread-Local Counters,100000,2,78553,3.142120000000000,0.000527346410207,0.000649,1.53x
Byte Array,100000,2,78553,3.142120000000000,0.000527346410207,0.000662,1.50x
Basic Pthread,100000,4,78524,3.140960000000000,0.000632653589793,0.000451,2.21x
Thread-Local Counters,100000,4,78524,3.140960000000000,0.000632653589793,0.000878,1.13x
Byte Array,100000,4,78524,3.140960000000000,0.000632653589793,0.000511,1.95x
Basic Pthread,100000,8,78695,3.147800000000000,0.006207346410207,0.000645,1.54x
Thread-Local Counters,100000,8,78695,3.147800000000000,0.006207346410207,0.000441,2.26x
Byte Array,100000,8,78695,3.147800000000000,0.006207346410207,0.000456,2.18x
Basic Pthread,100000,16,78666,3.146640000000000,0.005047346410207,0.000637,1.56x
Thread-Local Counters,100000,16,78666,3.146640000000000,0.005047346410207,0.000628,1.58x
Byte Array,100000,16,78666,3.146640000000000,0.005047346410207,0.000625,1.59x
Sequential,1000000,1,785814,3.143256000000000,0.001663346410207,0.010153,1.0
Basic Pthread,1000000,1,785814,3.143256000000000,0.001663346410207,0.009831,1.03x
Thread-Local Counters,1000000,1,785814,3.143256000000000,0.001663346410207,0.009665,1.05x
Byte Array,1000000,1,785814,3.143256000000000,0.001663346410207,0.012398,0.82x
Basic Pthread,1000000,2,785922,3.143688000000000,0.002095346410207,0.005683,1.79x
Thread-Local Counters,1000000,2,785922,3.143688000000000,0.002095346410207,0.005273,1.93x
Byte Array,1000000,2,785922,3.143688000000000,0.002095346410207,0.006175,1.64x
Basic Pthread,1000000,4,786000,3.144000000000000,0.002407346410207,0.003098,3.28x
Thread-Local Counters,1000000,4,786000,3.144000000000000,0.002407346410207,0.003148,3.23x
Byte Array,1000000,4,786000,3.144000000000000,0.002407346410207,0.002861,3.55x
Basic Pthread,1000000,8,785552,3.142208000000000,0.000615346410207,0.001811,5.61x
Thread-Local Counters,1000000,8,785552,3.142208000000000,0.000615346410207,0.001793,5.66x
Byte Array,1000000,8,785552,3.142208000000000,0.000615346410207,0.002149,4.72x
Basic Pthread,1000000,16,785299,3.141196000000000,0.000396653589793,0.001891,5.37x
Thread-Local Counters,1000000,16,785299,3.141196000000000,0.000396653589793,0.001673,6.07x
Byte Array,1000000,16,785299,3.141196000000000,0.000396653589793,0.001972,5.15x
Sequential,10000000,1,7855166,3.142066400000000,0.000473746410207,0.098429,1.0
Basic Pthread,10000000,1,7854752,3.141900800000000,0.000308146410207,0.096166,1.02x
Thread-Local Counters,10000000,1,7854752,3.141900800000000,0.000308146410207,0.104905,0.94x
Byte Array,10000000,1,7854752,3.141900800000000,0.000308146410207,0.101233,0.97x
Basic Pthread,10000000,2,7853747,3.141498800000000,0.000093853589793,0.049225,2.00x
Thread-Local Counters,10000000,2,7853747,3.141498800000000,0.000093853589793,0.049943,1.97x
Byte Array,10000000,2,7853747,3.141498800000000,0.000093853589793,0.052923,1.86x
Basic Pthread,10000000,4,7851625,3.140650000000000,0.000942653589793,0.026007,3.78x
Thread-Local Counters,10000000,4,7851625,3.140650000000000,0.000942653589793,0.025048,3.93x
Byte Array,10000000,4,7851625,3.140650000000000,0.000942653589793,0.028543,3.45x
Basic Pthread,10000000,8,7851822,3.140728800000000,0.000863853589793,0.016387,6.01x
Thread-Local Counters,10000000,8,7851822,3.140728800000000,0.000863853589793,0.016311,6.03x
Byte Array,10000000,8,7851822,3.140728800000000,0.000863853589793,0.021020,4.68x
Basic Pthread,10000000,16,7852203,3.140881200000000,0.000711453589793,0.012957,7.60x
Thread-Local Counters,10000000,16,7852203,3.140881200000000,0.000711453589793,0.014272,6.90x
Byte Array,10000000,16,7852203,3.140881200000000,0.000711453589793,0.016463,5.98x
