size,test_case,description,block_size_x,block_size_y,duration_ms
256x256,0,all_shapes,8,8,0.975
256x256,0,all_shapes,16,16,1.415
256x256,0,all_shapes,32,32,1.404
256x256,1,line_only,8,8,0.649
256x256,1,line_only,16,16,0.869
256x256,1,line_only,32,32,0.591
256x256,2,circle_only,8,8,0.657
256x256,2,circle_only,16,16,0.598
256x256,2,circle_only,32,32,0.662
256x256,3,ellipse_only,8,8,0.944
256x256,3,ellipse_only,16,16,0.6
256x256,3,ellipse_only,32,32,0.583
256x256,4,multiple_circles,8,8,2.988
256x256,4,multiple_circles,16,16,2.957
256x256,4,multiple_circles,32,32,2.833
512x512,0,all_shapes,8,8,2.177
512x512,0,all_shapes,16,16,2.155
512x512,0,all_shapes,32,32,2.366
512x512,1,line_only,8,8,1.173
512x512,1,line_only,16,16,1.388
512x512,1,line_only,32,32,1.208
512x512,2,circle_only,8,8,1.187
512x512,2,circle_only,16,16,1.236
512x512,2,circle_only,32,32,1.302
512x512,3,ellipse_only,8,8,1.321
512x512,3,ellipse_only,16,16,1.456
512x512,3,ellipse_only,32,32,1.182
512x512,4,multiple_circles,8,8,5.307
512x512,4,multiple_circles,16,16,5.466
512x512,4,multiple_circles,32,32,5.219
1024x1024,0,all_shapes,8,8,3.553
1024x1024,0,all_shapes,16,16,3.459
1024x1024,0,all_shapes,32,32,3.504
1024x1024,1,line_only,8,8,1.46
1024x1024,1,line_only,16,16,1.57
1024x1024,1,line_only,32,32,1.352
1024x1024,2,circle_only,8,8,1.367
1024x1024,2,circle_only,16,16,1.338
1024x1024,2,circle_only,32,32,1.39
1024x1024,3,ellipse_only,8,8,1.435
1024x1024,3,ellipse_only,16,16,1.327
1024x1024,3,ellipse_only,32,32,1.354
1024x1024,4,multiple_circles,8,8,10.456
1024x1024,4,multiple_circles,16,16,10.366
1024x1024,4,multiple_circles,32,32,10.668
